name,instance,start_time,duration,thread_id,flop_count
"Trsm Y",5,16949742,5244,17745305785038528775,-1
"trsm",0,16949810,4139,2254117302239912330,65200
"trsm",0,16949943,4659,7089993487510727522,65200
"Trsm U",5,16949996,5007,5970178637178261141,-1
"Trsm U",7,16950105,4294,17146082721936335494,-1
"trsm",0,16950262,4701,17745305785038528775,65200
"trsm",0,16950335,4644,5970178637178261141,65200
"trsm",0,16950474,3899,17146082721936335494,65200
"Subtract UUᵀ",6,16955842,7933,17146082721936335494,-1
"gemmt",0,16955896,7853,17146082721936335494,65000
"Subtract UUᵀ",0,16956442,8390,7089993487510727522,-1
"Compute Y",6,16956128,9510,4733493427633974532,-1
"Compute U",6,16956181,10117,17745305785038528775,-1
"Subtract UUᵀ",2,16956309,7793,2254117302239912330,-1
"Compute U",2,16956339,9221,17599415138405991409,-1
"Compute Y",2,16956395,9073,3599094319838864356,-1
"gemm",0,16956557,8974,17599415138405991409,125000
"gemm",0,16956622,8818,3599094319838864356,125000
"gemm",0,16956768,8841,4733493427633974532,125000
"gemmt",0,16956846,7962,7089993487510727522,65000
"gemmt",0,16957082,6996,2254117302239912330,65000
"gemm",0,16957241,9028,17745305785038528775,125000
"Subtract UUᵀ",4,16958053,7420,5970178637178261141,-1
"gemmt",0,16958153,7293,5970178637178261141,65000
"Factor D",6,16963857,6296,17146082721936335494,-1
"potrf",0,16963904,6224,17146082721936335494,88600
"Factor D",2,16964185,6322,2254117302239912330,-1
"potrf",0,16964242,6239,2254117302239912330,88600
"Subtract YYᵀ",0,16964920,5325,7089993487510727522,-1
"gemmt",0,16965049,5171,7089993487510727522,65000
"Subtract YYᵀ",4,16965556,5100,5970178637178261141,-1
"gemmt",0,16965639,4991,5970178637178261141,65000
"Trsm Y",6,16970955,5440,4733493427633974532,-1
"Trsm Y",2,16971061,5824,3599094319838864356,-1
"trsm",0,16971132,5239,4733493427633974532,65200
"Trsm U",6,16971277,5112,17745305785038528775,-1
"trsm",0,16971351,5511,3599094319838864356,65200
"Trsm U",2,16971388,5482,17599415138405991409,-1
"trsm",0,16971526,4839,17745305785038528775,65200
"trsm",0,16971603,5244,17599415138405991409,65200
"Subtract UUᵀ",0,16977645,7674,17599415138405991409,-1
"Compute Y",4,16977764,9092,4733493427633974532,-1
"gemmt",0,16977833,7462,17599415138405991409,65000
"Subtract UUᵀ",4,16977895,7964,17745305785038528775,-1
"gemm",0,16977970,8857,4733493427633974532,125000
"gemmt",0,16978111,7722,17745305785038528775,65000
"Compute U",4,16979350,8378,3599094319838864356,-1
"gemm",0,16979466,8231,3599094319838864356,125000
"Subtract YYᵀ",0,16985402,5296,17599415138405991409,-1
"gemmt",0,16985504,5170,17599415138405991409,65000
"Factor D",4,16985952,6312,17745305785038528775,-1
"potrf",0,16986041,6199,17745305785038528775,88600
"Trsm Y",4,16992539,5276,4733493427633974532,-1
"trsm",0,16992632,5161,4733493427633974532,65200
"Trsm U",4,16992800,5040,3599094319838864356,-1
"trsm",0,16992884,4931,3599094319838864356,65200
"Compute Y",0,16998432,8280,4733493427633974532,-1
"gemm",0,16998519,8168,4733493427633974532,125000
"Subtract UUᵀ",0,16999222,7062,3599094319838864356,-1
"gemmt",0,16999318,6942,3599094319838864356,65000
"Subtract YYᵀ",0,17006315,4988,3599094319838864356,-1
"gemmt",0,17006423,4855,3599094319838864356,65000
"Factor D",0,17011334,1711,3599094319838864356,-1
"potrf",0,17011428,1593,3599094319838864356,23600
